image,price,make,model,reg_year,meleage,fuel_type,transmission,seats,engine,body_type,doors,Gearbox,Registration,number_keys,ext_color,drive_type,prev_owners,car_ext_list,car_int_list,top_speed,acceleration,engine_power,length,fuel_cap,boot_cap,last_srv_date,last_srv_mile
<img src='https://eu.cdn.autosonshow.tv/2808/cazoo/WR19XRK/05.jpg' width='100' height='80'>,"£14,450",Mitsubishi ASX,Juro,2019,"9,355 miles",Petrol,Manual,5,1.6L,SUV,5,Manual,WR19 XRK,2,White,Front wheel drive,1, 'Alloys' 'Keyless entry' 'Metallic paint' 'Privacy glass', 'Bluetooth' 'Climate control' 'Cruise control' 'DAB' 'Front and rear parking sensors' 'Full leather seats' 'Heated front seats' 'ISOFIX fittings' 'Keyless start' 'Parking camera' 'Start/stop technology',113 mph,12.2 seconds,115 bhp,4365 mm,63 litres,Not available,19 March 2020,"9,346 miles"
<img src='https://eu.cdn.autosonshow.tv/2808/cazoo/KW17LKU/05.jpg' width='100' height='80'>,"£11,750",Vauxhall Mokka X,Design,2017,"10,398 miles",Petrol,Manual,5,1.4L,SUV,5,Manual,KW17 LKU,2,Silver,Front wheel drive,1, '18 inch alloy wheels' 'Metallic paint', 'Bluetooth' 'Climate control' 'Cloth seats' 'Cruise control' 'DAB' 'Front and rear parking sensors' 'ISOFIX fittings' 'Sat nav display' 'Start/stop technology',122 mph,9.9 seconds,138 bhp,4275 mm,53 litres,356 litres,,
<img src='https://eu.cdn.autosonshow.tv/2657/cazoo/FH67NPZ/05.jpg' width='100' height='80'>,"£15,700",Mini Hatch,Cooper,2017,"18,269 miles",Petrol,Automatic,5,2L,Hatchback,5,Automatic,FH67 NPZ,2,Lapisluxury Blue,Front wheel drive,1, '17 inch alloy wheels' 'Solid paint', 'Air con' 'Cloth seats' 'Cruise control' 'DAB' 'Paddle shift' 'Sat nav display' 'Start/stop technology',143 mph,6.8 seconds,192 bhp,4005 mm,44 litres,278 litres,6 February 2020,"17,508 miles"
<img src='https://eu.cdn.autosonshow.tv/2657/cazoo/FH67OET/05.jpg' width='100' height='80'>,"£15,800",Mini Hatch,Cooper,2017,"17,491 miles",Petrol,Automatic,5,2L,Hatchback,5,Automatic,FH67 OET,2,Lapisluxury Blue,Front wheel drive,1, '17 inch alloy wheels' 'Solid paint', 'Air con' 'Apple CarPlay' 'Bluetooth' 'Cloth seats' 'Cruise control' 'DAB' 'ISOFIX fittings' 'Keyless start' 'Paddle shift' 'Sat nav display' 'Start/stop technology',143 mph,6.8 seconds,192 bhp,4005 mm,44 litres,278 litres,12 February 2020,"16,304 miles"
<img src='https://eu.cdn.autosonshow.tv/2657/cazoo/BK18UEP/05.jpg' width='100' height='80'>,"£17,200",Mercedes-Benz A Class,AMG,2018,"19,260 miles",Diesel,Automatic,5,1.5L,Hatchback,5,Automatic,BK18 UEP,1,Blue,Front wheel drive,1, '18 inch alloy wheels' 'Metallic paint', 'Apple CarPlay' 'Bluetooth' 'CD player' 'Climate control' 'Cruise control' 'ISOFIX fittings' 'Paddle shift' 'Parking camera' 'Part leather seats' 'Start/stop technology',118 mph,11.3 seconds,108 bhp,4299 mm,Not available,341 litres,,
<img src='https://eu.cdn.autosonshow.tv/2657/cazoo/KK68BLX/05.jpg' width='100' height='80'>,"£18,750",Mercedes-Benz A Class,SE,2019,"12,617 miles",Diesel,Automatic,5,1.5L,Hatchback,5,Automatic,KK68 BLX,2,Grey,Front wheel drive,1, '16 inch alloy wheels' 'Metallic paint', 'Bluetooth' 'Climate control' 'Cruise control' 'DAB' 'Front and rear parking sensors' 'Heated front seats' 'ISOFIX fittings' 'Keyless start' 'Lane departure warning' 'Paddle shift' 'Parking camera' 'Part leather seats' 'Sat nav display' 'Start/stop technology',126 mph,11.3 seconds,114 bhp,4419 mm,43 litres,360 litres,,
<img src='https://eu.cdn.autosonshow.tv/2808/cazoo/LO17XMA/05.jpg' width='100' height='80'>,"£17,750",Audi A3,S,2017,"18,864 miles",Petrol,Manual,5,1.4L,Saloon,4,Manual,LO17 XMA,2,Black,Front wheel drive,1, '18 inch alloy wheels' 'Metallic paint', 'Bluetooth' 'CD player' 'Climate control' 'Cruise control' 'DAB' 'ISOFIX fittings' 'Part leather seats' 'Sat nav display',139 mph,8.2 seconds,148 bhp,4458 mm,50 litres,425 litres,,
<img src='https://eu.cdn.autosonshow.tv/2808/cazoo/WV18KAU/05.jpg' width='100' height='80'>,"£23,800",Volkswagen Golf,R,2018,"22,920 miles",Petrol,Automatic,5,2L,Estate,5,Automatic,WV18 KAU,2,Red,Four wheel drive,1, '18 inch alloy wheels' 'Solid paint', 'Adaptive cruise control' 'Apple CarPlay' 'Bluetooth' 'CD player' 'Climate control' 'Cloth seats' 'Cruise control' 'DAB' 'Front and rear parking sensors' 'Heated front seats' 'ISOFIX fittings' 'Paddle shift' 'Sat nav display' 'Start/stop technology',155 mph,4.6 seconds,306 bhp,4586 mm,55 litres,605 litres,4 June 2019Learn more about Last service,
<img src='https://eu.cdn.autosonshow.tv/2808/cazoo/WR19XPZ/05.jpg' width='100' height='80'>,"£14,300",Mitsubishi ASX,Juro,2019,"11,824 miles",Petrol,Manual,5,1.6L,SUV,5,Manual,WR19 XPZ,2,Red,Front wheel drive,1, '18 inch alloy wheels' 'Metallic paint', 'Air con' 'Bluetooth' 'Cruise control' 'DAB' 'Heated front seats' 'ISOFIX fittings' 'Keyless start' 'Parking camera' 'Part leather seats' 'Rear parking sensors',113 mph,12.2 seconds,115 bhp,4365 mm,63 litres,Not available,18 November 2019,"11,807 miles"
<img src='https://eu.cdn.autosonshow.tv/2808/cazoo/SF16SKM/05.jpg' width='100' height='80'>,"£15,150",Volkswagen Passat,GT,2016,"36,026 miles",Diesel,Automatic,5,2L,Estate,5,Automatic,SF16 SKM,2,White,Front wheel drive,2, '18 inch alloy wheels' 'Detachable towbar' 'Privacy glass' 'Solid paint', 'Adaptive cruise control' 'Bluetooth' 'CD player' 'Climate control' 'DAB' 'Front and rear parking sensors' 'Full leather seats' 'Heated front seats' 'ISOFIX fittings' 'Keyless start' 'Paddle shift' 'Sat nav display' 'Start/stop technology',134 mph,9.2 seconds,148 bhp,4767 mm,66 litres,650 litres,14 July 2018Learn more about Last service,
